sim/none/none                                      Do nothing at all!
sim/operation/quit                                 Quit the simulation.
sim/fadec/fadec_toggle                             FADEC toggle.
sim/engines/governor_toggle                        Throttle-governor toggle.
sim/engines/clutch_toggle                          Clutch toggle.
sim/engines/engage_starters                        Engage starters.
sim/engines/throttle_down                          Throttle down a bit.
sim/engines/throttle_up                            Throttle up a bit.
sim/engines/prop_down                              Prop coarse a bit.
sim/engines/prop_up                                Prop fine a bit.
sim/engines/mixture_down                           Mixture lean a bit.
sim/engines/mixture_up                             Mixture rich a bit.
sim/engines/mixture_min                            Mixture to cut off.
sim/engines/mixture_max                            Mixture to full rich.
sim/engines/carb_heat_on                           Carb heat on.
sim/engines/carb_heat_off                          Carb heat off.
sim/engines/carb_heat_toggle                       Carb heat toggle.
sim/engines/idle_hi_lo_toggle                      Idle Hi-Lo toggle.
sim/engines/TOGA_power                             Engage TOGA power.
sim/engines/thrust_reverse_toggle                  Toggle thrust reversers.
sim/engines/thrust_reverse_hold                    Hold thrust reverse at max.
sim/magnetos/magnetos_off                          Magnetos off.
sim/magnetos/magnetos_both                         Magnetos both.
sim/starters/engage_start_run                      Engage starter and fuel.
sim/starters/shut_down                             Pull fuel for shut-down.
sim/magnetos/magnetos_off_1                        Magnetos off for engine #1.
sim/magnetos/magnetos_off_2                        Magnetos off for engine #2.
sim/magnetos/magnetos_off_3                        Magnetos off for engine #3.
sim/magnetos/magnetos_off_4                        Magnetos off for engine #4.
sim/magnetos/magnetos_off_5                        Magnetos off for engine #5.
sim/magnetos/magnetos_off_6                        Magnetos off for engine #6.
sim/magnetos/magnetos_off_7                        Magnetos off for engine #7.
sim/magnetos/magnetos_off_8                        Magnetos off for engine #8.
sim/magnetos/magnetos_down_1                       Magnetos down one notch for engine #1.
sim/magnetos/magnetos_down_2                       Magnetos down one notch for engine #2.
sim/magnetos/magnetos_down_3                       Magnetos down one notch for engine #3.
sim/magnetos/magnetos_down_4                       Magnetos down one notch for engine #4.
sim/magnetos/magnetos_down_5                       Magnetos down one notch for engine #5.
sim/magnetos/magnetos_down_6                       Magnetos down one notch for engine #6.
sim/magnetos/magnetos_down_7                       Magnetos down one notch for engine #7.
sim/magnetos/magnetos_down_8                       Magnetos down one notch for engine #8.
sim/magnetos/magnetos_up_1                         Magnetos up one notch for engine #1.
sim/magnetos/magnetos_up_2                         Magnetos up one notch for engine #2.
sim/magnetos/magnetos_up_3                         Magnetos up one notch for engine #3.
sim/magnetos/magnetos_up_4                         Magnetos up one notch for engine #4.
sim/magnetos/magnetos_up_5                         Magnetos up one notch for engine #5.
sim/magnetos/magnetos_up_6                         Magnetos up one notch for engine #6.
sim/magnetos/magnetos_up_7                         Magnetos up one notch for engine #7.
sim/magnetos/magnetos_up_8                         Magnetos up one notch for engine #8.
sim/magnetos/magnetos_left_1                       Magnetos left for engine #1.
sim/magnetos/magnetos_left_2                       Magnetos left for engine #2.
sim/magnetos/magnetos_left_3                       Magnetos left for engine #3.
sim/magnetos/magnetos_left_4                       Magnetos left for engine #4.
sim/magnetos/magnetos_left_5                       Magnetos left for engine #5.
sim/magnetos/magnetos_left_6                       Magnetos left for engine #6.
sim/magnetos/magnetos_left_7                       Magnetos left for engine #7.
sim/magnetos/magnetos_left_8                       Magnetos left for engine #8.
sim/magnetos/magnetos_right_1                      Magnetos right for engine #1.
sim/magnetos/magnetos_right_2                      Magnetos right for engine #2.
sim/magnetos/magnetos_right_3                      Magnetos right for engine #3.
sim/magnetos/magnetos_right_4                      Magnetos right for engine #4.
sim/magnetos/magnetos_right_5                      Magnetos right for engine #5.
sim/magnetos/magnetos_right_6                      Magnetos right for engine #6.
sim/magnetos/magnetos_right_7                      Magnetos right for engine #7.
sim/magnetos/magnetos_right_8                      Magnetos right for engine #8.
sim/magnetos/magnetos_both_1                       Magnetos both for engine #1.
sim/magnetos/magnetos_both_2                       Magnetos both for engine #2.
sim/magnetos/magnetos_both_3                       Magnetos both for engine #3.
sim/magnetos/magnetos_both_4                       Magnetos both for engine #4.
sim/magnetos/magnetos_both_5                       Magnetos both for engine #5.
sim/magnetos/magnetos_both_6                       Magnetos both for engine #6.
